"ID","Length","Denticles","Three_phase_assignment"
"SP_HE_HE-18_11",269.313478312683,5,"Phase 1: early juvenile"
"SP_HE_HE-18_12",444.124036142182,11,"Phase 2: late juvenile / subadult"
"SP_HE_HE-18_13",348.711870915113,7,"Phase 2: late juvenile / subadult"
"SP_HE_HE-18_14",210.734593876397,5,"Phase 1: early juvenile"
"SP_HE_HE-18_15",256.221886316659,5,"Phase 1: early juvenile"
"SP_HE_HE-18_16",263.658146123514,6,"Phase 1: early juvenile"
"SP_HE_HE-18_17",357.404349514374,6,"Phase 2: late juvenile / subadult"
"SP_HE_HE-18_18",290.492747974635,5,"Phase 1: early juvenile"
"SP_HE_HE-18_19",407.744357278425,8,"Phase 2: late juvenile / subadult"
"SP_HE_HE-18_20",398.727840591797,7,"Phase 2: late juvenile / subadult"
"SP_HE_HE-18_21",355.887079527255,8,"Phase 2: late juvenile / subadult"
"SP_HE_HE-18_22",308.408504502239,6,"Phase 2: late juvenile / subadult"
"SP_HE_HE-18_23",323.284359704338,7,"Phase 2: late juvenile / subadult"
"SP_HE_HE-18_24",327.398986941007,7,"Phase 2: late juvenile / subadult"
"SP_HE_HE-18_25",299.377971697694,7,"Phase 2: late juvenile / subadult"
"SP_HE_HE-18_26",327.39768308241,6,"Phase 2: late juvenile / subadult"
"SP_HE_HE-18_27",338.206061273158,8,"Phase 2: late juvenile / subadult"
"SP_HE_HE-18_28",301.571026908568,7,"Phase 2: late juvenile / subadult"
"SP_HE_HE-18_29",272.622612905283,6,"Phase 1: early juvenile"
"SP_HE_HE-18_3",362.887899336651,6,"Phase 2: late juvenile / subadult"
"SP_HE_HE-18_30",332.810877827414,8,"Phase 2: late juvenile / subadult"
"SP_HE_HE-18_31",232.130000992071,5,"Phase 1: early juvenile"
"SP_HE_HE-18_32",267.430083330246,5,"Phase 1: early juvenile"
"SP_HE_HE-18_33",254.541493629865,6,"Phase 1: early juvenile"
"SP_HE_HE-18_34",353.26398181903,6,"Phase 2: late juvenile / subadult"
"SP_HE_HE-18_4",198.08819945063,5,"Phase 1: early juvenile"
"SP_HE_HE-18_6",349.295042965234,7,"Phase 2: late juvenile / subadult"
"SP_HE_HE-20_1",518.952030438857,9,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_1",372.014925635247,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_10",533.338998217316,10,"Phase 3: likely adult"
"SP_LI_LI-8_100",452.960268153655,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_101",487.606730972903,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_102",420.146504515467,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_103",229.041085587437,5,"Phase 1: early juvenile"
"SP_LI_LI-8_104",299.405594945067,6,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_12",366.844211220222,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_13",375.384169416844,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_14",364.936042116066,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_15",431.179207501911,8,"Phase 2: late juvenile / subadult"
